statement,topic,truth_label,entity,dedup_identity,source_r1_row_indices,source_r1_conjunct_refs,n_r1_rows,n_r1_conjunct_occurrences,absence_reason
Thallium has the symbol Fe.,element_symb,0,Thallium,element_symb::Thallium has the symbol Fe.,"[659, 754, 784, 877, 1281, 1929, 2049, 2333, 2624, 2644, 2646, 2668, 2727, 2823, 3981, 4564, 4908, 5273, 5348, 5541, 5786, 7655, 7675, 7920]","[""659:B"", ""754:B"", ""784:B"", ""877:B"", ""1281:A"", ""1929:A"", ""2049:B"", ""2333:A"", ""2624:B"", ""2644:B"", ""2646:A"", ""2668:A"", ""2727:B"", ""2823:B"", ""3981:B"", ""4564:B"", ""4908:B"", ""5273:B"", ""5348:A"", ""5541:B"", ""5786:B"", ""7655:A"", ""7675:B"", ""7920:A""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
Thorium has the symbol Ac.,element_symb,0,Thorium,element_symb::Thorium has the symbol Ac.,"[422, 1408, 1643, 1899, 2187, 4745, 4877, 7197]","[""422:B"", ""1408:B"", ""1643:B"", ""1899:B"", ""2187:B"", ""4745:B"", ""4877:B"", ""7197:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Thulium has the symbol Mg.,element_symb,0,Thulium,element_symb::Thulium has the symbol Mg.,"[107, 181, 426, 441, 547, 968, 1298, 1856, 1957, 2035, 2758, 3078, 3086, 3162, 3215, 3289, 3452, 3458, 3507, 4068, 4216, 4246, 4414, 4565, 5088, 5178, 5278, 5421, 5568, 5769, 5796, 5836, 5996, 6072, 6092, 6128, 6356, 6486, 6578, 6636, 6659, 6826, 7194, 7623, 7664, 7719, 7779, 7811]","[""107:A"", ""181:B"", ""426:A"", ""441:B"", ""547:A"", ""968:A"", ""1298:B"", ""1856:B"", ""1957:B"", ""2035:A"", ""2758:B"", ""3078:B"", ""3086:B"", ""3162:A"", ""3215:B"", ""3289:B"", ""3452:A"", ""3458:A"", ""3507:A"", ""4068:A"", ""4216:B"", ""4246:A"", ""4414:A"", ""4565:B"", ""5088:B"", ""5178:A"", ""5278:B"", ""5421:A"", ""5568:B"", ""5769:B"", ""5796:A"", ""5836:B"", ""5996:A"", ""6072:A"", ""6092:B"", ""6128:B"", ""6356:B"", ""6486:A"", ""6578:A"", ""6636:B"", ""6659:A"", ""6826:B"", ""7194:A"", ""7623:B"", ""7664:B"", ""7719:A"", ""7779:A"", ""7811:A""]",48,48,generated_wrong_object_text_absent_from_source_atomic_metadata
Titanium has the symbol I.,element_symb,0,Titanium,element_symb::Titanium has the symbol I.,"[742, 743, 873, 973, 1633, 2059, 2264, 4136, 4449, 4573, 4768, 4943, 4979, 5125, 6178, 7052]","[""742:B"", ""743:B"", ""873:B"", ""973:B"", ""1633:B"", ""2059:B"", ""2264:B"", ""4136:B"", ""4449:B"", ""4573:B"", ""4768:B"", ""4943:B"", ""4979:B"", ""5125:B"", ""6178:B"", ""7052:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Uranium has the symbol Hg.,element_symb,0,Uranium,element_symb::Uranium has the symbol Hg.,"[206, 284, 319, 642, 1187, 2066, 2889, 3789, 4021, 4370, 4931, 5169, 5338, 5698, 6902, 7835]","[""206:A"", ""284:B"", ""319:B"", ""642:B"", ""1187:B"", ""2066:A"", ""2889:A"", ""3789:B"", ""4021:A"", ""4370:B"", ""4931:A"", ""5169:B"", ""5338:A"", ""5698:B"", ""6902:A"", ""7835:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Vanadium has the symbol Ta.,element_symb,0,Vanadium,element_symb::Vanadium has the symbol Ta.,"[1188, 1599, 1966, 2658, 2967, 3324, 4354, 4865, 4916, 4964, 5517, 5755, 6681, 7028, 7286, 7770]","[""1188:B"", ""1599:B"", ""1966:B"", ""2658:A"", ""2967:A"", ""3324:B"", ""4354:B"", ""4865:A"", ""4916:A"", ""4964:A"", ""5517:A"", ""5755:B"", ""6681:B"", ""7028:A"", ""7286:A"", ""7770:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Xenon has the symbol Hf.,element_symb,0,Xenon,element_symb::Xenon has the symbol Hf.,"[78, 1605, 2284, 2605, 5470, 5781, 6866, 7082]","[""78:A"", ""1605:A"", ""2284:A"", ""2605:A"", ""5470:A"", ""5781:A"", ""6866:A"", ""7082:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Ytterbium has the symbol F.,element_symb,0,Ytterbium,element_symb::Ytterbium has the symbol F.,"[267, 315, 333, 1397, 1826, 2253, 3795, 4439, 4686, 5841, 5865, 6313, 6322, 7231, 7366, 7502]","[""267:A"", ""315:A"", ""333:A"", ""1397:A"", ""1826:A"", ""2253:A"", ""3795:A"", ""4439:A"", ""4686:A"", ""5841:A"", ""5865:A"", ""6313:A"", ""6322:A"", ""7231:A"", ""7366:A"", ""7502:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Zinc has the symbol Ac.,element_symb,0,Zinc,element_symb::Zinc has the symbol Ac.,"[181, 623, 651, 741, 884, 1104, 1298, 1856, 2135, 2298, 2371, 2401, 2714, 2833, 3700, 3765, 3853, 4041, 4318, 5841, 5986, 6093, 6313, 6322, 6356, 6603, 6671, 6838, 7158, 7211, 7231, 7746]","[""181:A"", ""623:A"", ""651:B"", ""741:A"", ""884:B"", ""1104:B"", ""1298:A"", ""1856:A"", ""2135:A"", ""2298:A"", ""2371:B"", ""2401:A"", ""2714:B"", ""2833:B"", ""3700:A"", ""3765:B"", ""3853:B"", ""4041:A"", ""4318:B"", ""5841:B"", ""5986:A"", ""6093:B"", ""6313:B"", ""6322:B"", ""6356:A"", ""6603:A"", ""6671:B"", ""6838:B"", ""7158:A"", ""7211:A"", ""7231:B"", ""7746:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
Zirconium has the symbol Ru.,element_symb,0,Zirconium,element_symb::Zirconium has the symbol Ru.,"[182, 1173, 1281, 1579, 1925, 1962, 2018, 2313, 2355, 2584, 2646, 2977, 3215, 3289, 3357, 4347, 4390, 5216, 5240, 5348, 6050, 6092, 6536, 6636, 6787, 7382, 7467, 7608, 7655, 7694, 7703, 7744]","[""182:A"", ""1173:A"", ""1281:B"", ""1579:B"", ""1925:A"", ""1962:B"", ""2018:B"", ""2313:B"", ""2355:A"", ""2584:B"", ""2646:B"", ""2977:B"", ""3215:A"", ""3289:A"", ""3357:A"", ""4347:B"", ""4390:B"", ""5216:B"", ""5240:A"", ""5348:B"", ""6050:B"", ""6092:A"", ""6536:B"", ""6636:A"", ""6787:A"", ""7382:B"", ""7467:A"", ""7608:A"", ""7655:B"", ""7694:A"", ""7703:A"", ""7744:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
Alan Turing lived in Japan.,inventors,0,Alan Turing,inventors::Alan Turing lived in Japan.,"[1077, 1162, 1209, 2358, 2375, 3556, 4214, 5610]","[""1077:B"", ""1162:B"", ""1209:B"", ""2358:B"", ""2375:B"", ""3556:B"", ""4214:B"", ""5610:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Albert Ghiorso lived in Austria.,inventors,0,Albert Ghiorso,inventors::Albert Ghiorso lived in Austria.,"[808, 2126, 3560, 6437, 6773, 6919, 7335, 7678]","[""808:B"", ""2126:B"", ""3560:B"", ""6437:B"", ""6773:B"", ""6919:B"", ""7335:B"", ""7678:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Alec Jeffreys lived in the Netherlands.,inventors,0,Alec Jeffreys,inventors::Alec Jeffreys lived in the Netherlands.,"[700, 932, 1191, 1824, 1942, 2637, 5121, 5561]","[""700:B"", ""932:B"", ""1191:B"", ""1824:B"", ""1942:B"", ""2637:B"", ""5121:B"", ""5561:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Alexander Graham Bell lived in Turkey/the U.S.,inventors,0,Alexander Graham Bell,inventors::Alexander Graham Bell lived in Turkey/the U.S.,"[611, 897, 1258, 1993, 2126, 2269, 2328, 3359, 4089, 4602, 4668, 5057, 6773, 7149, 7335, 7678]","[""611:A"", ""897:A"", ""1258:A"", ""1993:A"", ""2126:A"", ""2269:A"", ""2328:A"", ""3359:A"", ""4089:A"", ""4602:A"", ""4668:A"", ""5057:A"", ""6773:A"", ""7149:A"", ""7335:A"", ""7678:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Alfred Nobel lived in Canada/the U.S.,inventors,0,Alfred Nobel,inventors::Alfred Nobel lived in Canada/the U.S.,"[1558, 1721, 1921, 2219, 3298, 5689, 5901, 7156]","[""1558:B"", ""1721:B"", ""1921:B"", ""2219:B"", ""3298:B"", ""5689:B"", ""5901:B"", ""7156:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Alva J. Fisher lived in Canada/the U.S.,inventors,0,Alva J. Fisher,inventors::Alva J. Fisher lived in Canada/the U.S.,"[804, 1444, 1547, 1987, 2140, 6759, 7423, 7424]","[""804:B"", ""1444:B"", ""1547:B"", ""1987:B"", ""2140:B"", ""6759:B"", ""7423:B"", ""7424:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Ami Argand lived in China.,inventors,0,Ami Argand,inventors::Ami Argand lived in China.,"[1051, 1135, 2259, 3564, 5140, 5390, 5792, 6262]","[""1051:A"", ""1135:A"", ""2259:A"", ""3564:A"", ""5140:A"", ""5390:A"", ""5792:A"", ""6262:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Archimedes lived in Turkey/the U.S.,inventors,0,Archimedes,inventors::Archimedes lived in Turkey/the U.S.,"[476, 1165, 1235, 2160, 2563, 4183, 5195, 6998]","[""476:B"", ""1165:B"", ""1235:B"", ""2160:B"", ""2563:B"", ""4183:B"", ""5195:B"", ""6998:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Arthur Fry lived in Croatia.,inventors,0,Arthur Fry,inventors::Arthur Fry lived in Croatia.,"[361, 758, 1613, 1763, 2137, 2509, 3461, 3511, 4283, 4445, 6268, 6393, 6762, 6851, 6932, 6950]","[""361:B"", ""758:B"", ""1613:B"", ""1763:B"", ""2137:B"", ""2509:B"", ""3461:B"", ""3511:B"", ""4283:B"", ""4445:B"", ""6268:B"", ""6393:B"", ""6762:B"", ""6851:B"", ""6932:B"", ""6950:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Arthur Pitney lived in Ukraine/the U.S.,inventors,0,Arthur Pitney,inventors::Arthur Pitney lived in Ukraine/the U.S.,"[345, 392, 1839, 2377, 2663, 4148, 5155, 6639]","[""345:A"", ""392:A"", ""1839:A"", ""2377:A"", ""2663:A"", ""4148:A"", ""5155:A"", ""6639:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Bartolomeo Cristofori lived in the U.K.,inventors,0,Bartolomeo Cristofori,inventors::Bartolomeo Cristofori lived in the U.K.,"[218, 720, 1052, 1213, 2061, 3177, 4868, 6877]","[""218:A"", ""720:A"", ""1052:A"", ""1213:A"", ""2061:A"", ""3177:A"", ""4868:A"", ""6877:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Benjamin Holt lived in Poland/Germany.,inventors,0,Benjamin Holt,inventors::Benjamin Holt lived in Poland/Germany.,"[1693, 2424, 3544, 3605, 4883, 5309, 5779, 7341]","[""1693:A"", ""2424:A"", ""3544:A"", ""3605:A"", ""4883:A"", ""5309:A"", ""5779:A"", ""7341:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Candace Pert lived in Germany.,inventors,0,Candace Pert,inventors::Candace Pert lived in Germany.,"[91, 286, 1203, 1381, 1636, 2815, 3653, 3699, 5134, 5201, 5646, 5937, 6323, 6855, 7148, 7777]","[""91:A"", ""286:B"", ""1203:A"", ""1381:B"", ""1636:A"", ""2815:B"", ""3653:A"", ""3699:B"", ""5134:A"", ""5201:A"", ""5646:A"", ""5937:B"", ""6323:B"", ""6855:B"", ""7148:A"", ""7777:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Carl Elsener lived in the Netherlands.,inventors,0,Carl Elsener,inventors::Carl Elsener lived in the Netherlands.,"[288, 1775, 2129, 2782, 3879, 5509, 5941, 7573]","[""288:A"", ""1775:A"", ""2129:A"", ""2782:A"", ""3879:A"", ""5509:A"", ""5941:A"", ""7573:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Carl Sontheimer lived in Norway.,inventors,0,Carl Sontheimer,inventors::Carl Sontheimer lived in Norway.,"[544, 2007, 2872, 2897, 3421, 3448, 4738, 7689]","[""544:A"", ""2007:A"", ""2872:A"", ""2897:A"", ""3421:A"", ""3448:A"", ""4738:A"", ""7689:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Babbage lived in the U.S.,inventors,0,Charles Babbage,inventors::Charles Babbage lived in the U.S.,"[1169, 1614, 1675, 4072, 5445, 5593, 6416, 7624]","[""1169:B"", ""1614:B"", ""1675:B"", ""4072:B"", ""5445:B"", ""5593:B"", ""6416:B"", ""7624:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Cros lived in the Netherlands.,inventors,0,Charles Cros,inventors::Charles Cros lived in the Netherlands.,"[1473, 1808, 2543, 2670, 3730, 5097, 6212, 6377]","[""1473:A"", ""1808:A"", ""2543:A"", ""2670:A"", ""3730:A"", ""5097:A"", ""6212:A"", ""6377:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Francis Richter lived in India.,inventors,0,Charles Francis Richter,inventors::Charles Francis Richter lived in India.,"[11, 269, 680, 770, 813, 1028, 1340, 1529, 1540, 1893, 2822, 2861, 3190, 3335, 3622, 3627, 4381, 5040, 5074, 5460, 5636, 5767, 5914, 6628]","[""11:B"", ""269:B"", ""680:B"", ""770:B"", ""813:B"", ""1028:B"", ""1340:B"", ""1529:B"", ""1540:B"", ""1893:B"", ""2822:B"", ""2861:B"", ""3190:B"", ""3335:B"", ""3622:B"", ""3627:B"", ""4381:B"", ""5040:B"", ""5074:B"", ""5460:B"", ""5636:B"", ""5767:B"", ""5914:B"", ""6628:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Fritts lived in Italy.,inventors,0,Charles Fritts,inventors::Charles Fritts lived in Italy.,"[706, 1558, 1830, 1921, 2219, 5551, 5888, 5901]","[""706:A"", ""1558:A"", ""1830:A"", ""1921:A"", ""2219:A"", ""5551:A"", ""5888:A"", ""5901:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Goodyear lived in Poland/France.,inventors,0,Charles Goodyear,inventors::Charles Goodyear lived in Poland/France.,"[75, 114, 421, 527, 1225, 1264, 1345, 2537, 3049, 4525, 4807, 5075, 5614, 5739, 6285, 6378]","[""75:A"", ""114:A"", ""421:A"", ""527:A"", ""1225:A"", ""1264:A"", ""1345:A"", ""2537:A"", ""3049:A"", ""4525:A"", ""4807:A"", ""5075:A"", ""5614:A"", ""5739:A"", ""6285:A"", ""6378:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Macintosh lived in Japan.,inventors,0,Charles Macintosh,inventors::Charles Macintosh lived in Japan.,"[36, 1619, 1979, 4798, 5530, 5992, 6913, 7948]","[""36:A"", ""1619:A"", ""1979:A"", ""4798:A"", ""5530:A"", ""5992:A"", ""6913:A"", ""7948:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Charles Townes lived in Croatia.,inventors,0,Charles Townes,inventors::Charles Townes lived in Croatia.,"[729, 1061, 4080, 5425, 6139, 6216, 7618, 7736]","[""729:B"", ""1061:B"", ""4080:B"", ""5425:B"", ""6139:B"", ""6216:B"", ""7618:B"", ""7736:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Chester Carlson lived in Poland/Germany.,inventors,0,Chester Carlson,inventors::Chester Carlson lived in Poland/Germany.,"[33, 163, 400, 1414, 2268, 2661, 6499, 7717]","[""33:B"", ""163:B"", ""400:B"", ""1414:B"", ""2268:B"", ""2661:B"", ""6499:B"", ""7717:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Christian Huygens lived in Poland/Germany.,inventors,0,Christian Huygens,inventors::Christian Huygens lived in Poland/Germany.,"[204, 896, 988, 1919, 3986, 5639, 6113, 7163]","[""204:B"", ""896:B"", ""988:B"", ""1919:B"", ""3986:B"", ""5639:B"", ""6113:B"", ""7163:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Clarence Birdseye lived in Croatia.,inventors,0,Clarence Birdseye,inventors::Clarence Birdseye lived in Croatia.,"[1381, 1630, 1699, 2632, 3502, 3699, 4856, 5113, 5407, 5581, 5937, 5968, 6903, 7629, 7777, 7938]","[""1381:A"", ""1630:A"", ""1699:A"", ""2632:A"", ""3502:A"", ""3699:A"", ""4856:A"", ""5113:A"", ""5407:A"", ""5581:A"", ""5937:A"", ""5968:A"", ""6903:A"", ""7629:A"", ""7777:A"", ""7938:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Daisuke Inoue lived in Sweden.,inventors,0,Daisuke Inoue,inventors::Daisuke Inoue lived in Sweden.,"[1125, 1147, 1503, 2471, 2966, 3213, 5575, 6815]","[""1125:A"", ""1147:A"", ""1503:A"", ""2471:A"", ""2966:A"", ""3213:A"", ""5575:A"", ""6815:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Daniel Fahrenheit lived in Canada/the U.S.,inventors,0,Daniel Fahrenheit,inventors::Daniel Fahrenheit lived in Canada/the U.S.,"[406, 671, 1215, 1263, 1456, 2852, 3201, 3473, 3562, 5456, 5584, 5809, 6710, 6873, 7383, 7542]","[""406:A"", ""671:A"", ""1215:A"", ""1263:A"", ""1456:A"", ""2852:A"", ""3201:A"", ""3473:A"", ""3562:A"", ""5456:A"", ""5584:A"", ""5809:A"", ""6710:A"", ""6873:A"", ""7383:A"", ""7542:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
David Edward Hughes lived in Germany/the U.S.,inventors,0,David Edward Hughes,inventors::David Edward Hughes lived in Germany/the U.S.,"[1596, 1631, 1877, 2005, 2547, 4058, 5453, 7029]","[""1596:A"", ""1631:A"", ""1877:A"", ""2005:A"", ""2547:A"", ""4058:A"", ""5453:A"", ""7029:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
David Schwarz lived in Finland.,inventors,0,David Schwarz,inventors::David Schwarz lived in Finland.,"[248, 618, 837, 882, 1068, 2526, 2625, 2669, 3087, 4405, 4468, 6271, 6423, 6476, 7118, 7595]","[""248:B"", ""618:B"", ""837:B"", ""882:B"", ""1068:B"", ""2526:B"", ""2625:B"", ""2669:B"", ""3087:B"", ""4405:B"", ""4468:B"", ""6271:B"", ""6423:B"", ""6476:B"", ""7118:B"", ""7595:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Dr. Robert Gallo lived in Norway.,inventors,0,Dr. Robert Gallo,inventors::Dr. Robert Gallo lived in Norway.,"[817, 2032, 2202, 2532, 4502, 5164, 5349, 7167]","[""817:A"", ""2032:A"", ""2202:A"", ""2532:A"", ""4502:A"", ""5164:A"", ""5349:A"", ""7167:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Edmund Cartwright lived in France.,inventors,0,Edmund Cartwright,inventors::Edmund Cartwright lived in France.,"[970, 1041, 1532, 3028, 3354, 4487, 4921, 7146]","[""970:A"", ""1041:A"", ""1532:A"", ""3028:A"", ""3354:A"", ""4487:A"", ""4921:A"", ""7146:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Edouard Benedictus lived in England.,inventors,0,Edouard Benedictus,inventors::Edouard Benedictus lived in England.,"[21, 244, 397, 1746, 1995, 2080, 6373, 7614]","[""21:A"", ""244:A"", ""397:A"", ""1746:A"", ""1995:A"", ""2080:A"", ""6373:A"", ""7614:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Edwin Herbert Hall lived in Austria.,inventors,0,Edwin Herbert Hall,inventors::Edwin Herbert Hall lived in Austria.,"[987, 2050, 2949, 3284, 4228, 6033, 6038, 7886]","[""987:B"", ""2050:B"", ""2949:B"", ""3284:B"", ""4228:B"", ""6033:B"", ""6038:B"", ""7886:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Edwin Link lived in Japan.,inventors,0,Edwin Link,inventors::Edwin Link lived in Japan.,"[210, 724, 1003, 2241, 4667, 6530, 7006, 7279]","[""210:B"", ""724:B"", ""1003:B"", ""2241:B"", ""4667:B"", ""6530:B"", ""7006:B"", ""7279:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Elihu Thomson lived in Austria/the U.S.,inventors,0,Elihu Thomson,inventors::Elihu Thomson lived in Austria/the U.S.,"[2007, 2446, 2872, 2888, 2907, 3421, 3877, 4738]","[""2007:B"", ""2446:B"", ""2872:B"", ""2888:B"", ""2907:B"", ""3421:B"", ""3877:B"", ""4738:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Elisha Gray lived in the U.K.,inventors,0,Elisha Gray,inventors::Elisha Gray lived in the U.K.,"[759, 4253, 4655, 5204, 5249, 5310, 5334, 7771]","[""759:A"", ""4253:A"", ""4655:A"", ""5204:A"", ""5249:A"", ""5310:A"", ""5334:A"", ""7771:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Emile Berliner lived in Japan.,inventors,0,Emile Berliner,inventors::Emile Berliner lived in Japan.,"[308, 498, 885, 916, 1370, 1705, 1913, 2816, 3196, 4103, 4126, 4538, 4972, 5158, 6084, 6799]","[""308:A"", ""498:B"", ""885:A"", ""916:A"", ""1370:B"", ""1705:A"", ""1913:B"", ""2816:B"", ""3196:A"", ""4103:A"", ""4126:B"", ""4538:B"", ""4972:B"", ""5158:A"", ""6084:A"", ""6799:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Ernest Swinton lived in Poland/France.,inventors,0,Ernest Swinton,inventors::Ernest Swinton lived in Poland/France.,"[215, 1057, 2514, 3168, 5054, 5810, 6000, 6011]","[""215:B"", ""1057:B"", ""2514:B"", ""3168:B"", ""5054:B"", ""5810:B"", ""6000:B"", ""6011:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Ernesto Blanco lived in India.,inventors,0,Ernesto Blanco,inventors::Ernesto Blanco lived in India.,"[673, 1057, 2465, 3168, 3253, 3858, 3859, 4057, 4440, 5459, 5810, 6000, 6157, 6306, 6973, 7043]","[""673:A"", ""1057:A"", ""2465:B"", ""3168:A"", ""3253:B"", ""3858:A"", ""3859:B"", ""4057:B"", ""4440:A"", ""5459:A"", ""5810:A"", ""6000:A"", ""6157:B"", ""6306:B"", ""6973:B"", ""7043:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Evangelista Torricelli lived in Finland.,inventors,0,Evangelista Torricelli,inventors::Evangelista Torricelli lived in Finland.,"[244, 537, 690, 1193, 1746, 2080, 2821, 3759, 3775, 5267, 5302, 5736, 6325, 6655, 7537, 7614]","[""244:B"", ""537:B"", ""690:B"", ""1193:B"", ""1746:B"", ""2080:B"", ""2821:B"", ""3759:B"", ""3775:B"", ""5267:B"", ""5302:B"", ""5736:B"", ""6325:B"", ""6655:B"", ""7537:B"", ""7614:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Ferdinand Carré lived in Germany/the U.S.,inventors,0,Ferdinand Carré,inventors::Ferdinand Carré lived in Germany/the U.S.,"[606, 677, 4006, 4118, 4164, 4516, 5762, 5922]","[""606:B"", ""677:B"", ""4006:B"", ""4118:B"", ""4164:B"", ""4516:B"", ""5762:B"", ""5922:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Frank Julian Sprague lived in Norway.,inventors,0,Frank Julian Sprague,inventors::Frank Julian Sprague lived in Norway.,"[618, 2526, 2669, 3087, 3425, 3969, 6889, 7392]","[""618:A"", ""2526:A"", ""2669:A"", ""3087:A"", ""3425:A"", ""3969:A"", ""6889:A"", ""7392:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Frederick G. Creed lived in the U.S.,inventors,0,Frederick G. Creed,inventors::Frederick G. Creed lived in the U.S.,"[1912, 3569, 4071, 4373, 4731, 5245, 6279, 6549]","[""1912:A"", ""3569:A"", ""4071:A"", ""4373:A"", ""4731:A"", ""5245:A"", ""6279:A"", ""6549:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Fridtjof Nansen lived in Scotland/Canada/the U.S.,inventors,0,Fridtjof Nansen,inventors::Fridtjof Nansen lived in Scotland/Canada/the U.S.,"[448, 853, 2240, 2267, 2551, 2749, 3148, 3158, 3937, 4055, 4444, 4676, 5165, 5556, 5855, 5923, 6523, 6629, 6795, 6829, 6870, 6878, 7495, 7687]","[""448:B"", ""853:B"", ""2240:B"", ""2267:B"", ""2551:B"", ""2749:B"", ""3148:B"", ""3158:B"", ""3937:B"", ""4055:B"", ""4444:B"", ""4676:B"", ""5165:B"", ""5556:B"", ""5855:B"", ""5923:B"", ""6523:B"", ""6629:B"", ""6795:B"", ""6829:B"", ""6870:B"", ""6878:B"", ""7495:B"", ""7687:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
Galileo Galilei lived in Austria.,inventors,0,Galileo Galilei,inventors::Galileo Galilei lived in Austria.,"[729, 1704, 1747, 2099, 2265, 2647, 2878, 4033, 4074, 4733, 5425, 6139, 6963, 7203, 7647, 7736]","[""729:A"", ""1704:B"", ""1747:B"", ""2099:B"", ""2265:B"", ""2647:B"", ""2878:B"", ""4033:A"", ""4074:A"", ""4733:B"", ""5425:A"", ""6139:A"", ""6963:B"", ""7203:A"", ""7647:A"", ""7736:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Garrett Morgan lived in Ukraine/the U.S.,inventors,0,Garrett Morgan,inventors::Garrett Morgan lived in Ukraine/the U.S.,"[1008, 1208, 1499, 1505, 1583, 3120, 3206, 3771, 4280, 5258, 6155, 6649, 6652, 7144, 7514, 7554]","[""1008:A"", ""1208:A"", ""1499:B"", ""1505:A"", ""1583:B"", ""3120:A"", ""3206:A"", ""3771:A"", ""4280:B"", ""5258:A"", ""6155:B"", ""6649:A"", ""6652:B"", ""7144:B"", ""7514:B"", ""7554:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
George Cayley lived in Denmark.,inventors,0,George Cayley,inventors::George Cayley lived in Denmark.,"[101, 2164, 2407, 4371, 5712, 6666, 6723, 6776]","[""101:A"", ""2164:A"", ""2407:A"", ""4371:A"", ""5712:A"", ""6666:A"", ""6723:A"", ""6776:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
George Devol lived in Hungary.,inventors,0,George Devol,inventors::George Devol lived in Hungary.,"[1249, 1853, 2410, 2666, 3008, 3073, 3674, 3773, 5064, 5350, 5791, 6538, 6742, 7077, 7244, 7375]","[""1249:A"", ""1853:B"", ""2410:A"", ""2666:A"", ""3008:B"", ""3073:A"", ""3674:B"", ""3773:B"", ""5064:B"", ""5350:B"", ""5791:A"", ""6538:B"", ""6742:A"", ""7077:A"", ""7244:A"", ""7375:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
George Washington Carver lived in Sweden.,inventors,0,George Washington Carver,inventors::George Washington Carver lived in Sweden.,"[1285, 1510, 2756, 3378, 3548, 5116, 5495, 6500]","[""1285:B"", ""1510:B"", ""2756:B"", ""3378:B"", ""3548:B"", ""5116:B"", ""5495:B"", ""6500:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
